Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Sofyan Amrabat,ACF Fiorentina,25,midfield,Morocco,13500000,3,Serie A
Aleksei Miranchuk,Atalanta BC,25,midfield,Russia,13500000,3,Serie A
Calvin Stengs,OGC Nice,22,attack,Netherlands,12600000,5,Ligue 1
Justin Kluivert,OGC Nice,22,attack,Netherlands,12600000,1,Ligue 1
Philipp Lienhart,SC Freiburg,25,Defender,Austria,12600000,3,Bundesliga
Boulaye Dia,Villarreal CF,24,attack,Senegal,12600000,5,La Liga
Brais Méndez,Celta de Vigo,24,midfield,Spain,12600000,3,La Liga
Willy Boly,Wolverhampton Wanderers,30,Defender,Cote d'Ivoire,12600000,2,Premier League
Emerson,Olympique Lyon,27,Defender,Italy,12600000,1,Ligue 1
Amir Rrahmani,SSC Napoli,27,Defender,Kosovo,12600000,3,Serie A
Valentin Rongier,Olympique Marseille,26,midfield,France,12600000,3,Ligue 1
Borja Mayoral,AS Roma,24,attack,Spain,12600000,1,Serie A
Koen Casteels,VfL Wolfsburg,29,Goalkeeper,Belgium,12600000,3,Bundesliga
John Brooks,VfL Wolfsburg,28,Defender,United States,12600000,1,Bundesliga
Marcel Halstenberg,RB Leipzig,29,Defender,Germany,12600000,1,Bundesliga
Anthony Lopes,Olympique Lyon,30,Goalkeeper,Portugal,12600000,2,Ligue 1
Thomas Strakosha,SS Lazio,26,Goalkeeper,Albania,12600000,1,Serie A
Diadié Samassékou,TSG 1899 Hoffenheim,25,midfield,Mali,12600000,3,Bundesliga
Rolando Mandragora,Torino FC,24,midfield,Italy,12600000,1,Serie A
Antonin Barak,Hellas Verona,26,midfield,Czech Republic,12600000,fail,Serie A
Amadou Diawara,AS Roma,24,midfield,Guinea,12600000,3,Serie A
Myron Boadu,AS Monaco,20,attack,Netherlands,12600000,5,Ligue 1
Aaron Ramsey,Juventus FC,30,midfield,Wales,12600000,2,Serie A
Emil Audero,UC Sampdoria,24,Goalkeeper,Italy,12600000,5,Serie A
Elseid Hysaj,SS Lazio,27,Defender,Albania,11700000,4,Serie A
Kepa Arrizabalaga,Chelsea FC,26,Goalkeeper,Spain,11700000,4,Premier League
Moussa Djenepo,Southampton FC,23,attack,Mali,11700000,2,Premier League
Lovro Majer,Stade Rennais FC,23,midfield,Croatia,11700000,5,Ligue 1
César Azpilicueta,Chelsea FC,32,Defender,Spain,11700000,1,Premier League
Alessandro Florenzi,AC Milan,30,Defender,Italy,11700000,1,Serie A
Jean-Philippe Mateta,Crystal Palace,24,attack,France,11700000,1,Premier League
Martin Terrier,Stade Rennais FC,24,attack,France,11700000,4,Ligue 1
Rubén Vargas,FC Augsburg,23,attack,Switzerland,11700000,4,Bundesliga
Gylfi Sigurdsson,Everton FC,31,midfield,Iceland,11700000,1,Premier League
Enock Mwepu,Brighton &amp; Hove Albion,23,midfield,Zambia,11700000,4,Premier League
Óliver Torres,Sevilla FC,26,midfield,Spain,11700000,3,La Liga
Paulinho,Bayer 04 Leverkusen,21,attack,Brazil,11700000,2,Bundesliga
Odilon Kossounou,Bayer 04 Leverkusen,20,Defender,Cote d'Ivoire,11700000,5,Bundesliga
Anwar El Ghazi,Aston Villa,26,attack,Netherlands,11700000,2,Premier League
Romain Faivre,Stade Brestois 29,23,midfield,France,11700000,4,Ligue 1
Péter Gulácsi,RB Leipzig,31,Goalkeeper,Hungary,11700000,4,Bundesliga
Jamaal Lascelles,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,Defender,England,11700000,3,UNKNOWN
Marco Reus,Borussia Dortmund,32,midfield,Germany,11700000,2,Bundesliga
Stefan Posch,TSG 1899 Hoffenheim,24,Defender,Austria,11700000,3,Bundesliga
Tino Kadewere,Olympique Lyon,25,attack,Zimbabwe,11700000,3,Ligue 1
Gregor Kobel,Borussia Dortmund,23,Goalkeeper,Switzerland,11700000,5,Bundesliga
Jonjo Shelvey,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,midfield,England,11700000,2,UNKNOWN
Dodi Lukébakio,VfL Wolfsburg,23,attack,Belgium,11700000,1,Bundesliga
Exequiel Palacios,Bayer 04 Leverkusen,22,midfield,Argentina,11700000,4,Bundesliga
Ludovic Blas,FC Nantes,23,midfield,France,11700000,3,Ligue 1
Ander Herrera,Paris Saint-Germain,32,midfield,Spain,11700000,3,Ligue 1
Stefano Sensi,Inter Milan,26,midfield,Italy,11700000,3,Serie A
Stefan Lainer,Borussia Mönchengladbach,29,Defender,Austria,11250000,3,Bundesliga
Sebastiaan Bornauw,VfL Wolfsburg,22,Defender,Belgium,10800000,5,Bundesliga
Takumi Minamino,Liverpool FC,26,attack,Japan,10800000,3,Premier League
Denis Suárez,Celta de Vigo,27,midfield,Spain,10800000,2,La Liga
Mats Hummels,Borussia Dortmund,32,Defender,Germany,10800000,1,Bundesliga
Thomas Meunier,Borussia Dortmund,29,Defender,Belgium,10800000,3,Bundesliga
Fran Beltrán,Celta de Vigo,22,midfield,Spain,10800000,2,La Liga
Rui Silva,Real Betis Balompié,27,Goalkeeper,Portugal,10800000,5,La Liga
Iker Muniain,Athletic Bilbao,28,midfield,Spain,10800000,3,La Liga
Mathí­as Olivera,Getafe CF,23,Defender,Uruguay,10800000,4,La Liga
Benjamin Henrichs,RB Leipzig,24,Defender,Germany,10800000,4,Bundesliga
Marcos Alonso,Chelsea FC,30,Defender,Spain,10800000,2,Premier League
Domingos Duarte,Granada CF,26,Defender,Portugal,10800000,2,La Liga
Ermedin Demirovic,SC Freiburg,23,attack,Bosnia-Herzegovina,10800000,3,Bundesliga
Manu Trigueros,Villarreal CF,29,midfield,Spain,10800000,1,La Liga
Seko Fofana,RC Lens,26,midfield,Cote d'Ivoire,10800000,3,Ligue 1
Kevin Mbabu,VfL Wolfsburg,26,Defender,Switzerland,10800000,2,Bundesliga
Gian Marco Ferrari,US Sassuolo,29,Defender,Italy,10800000,2,Serie A
Kaio Jorge,Juventus FC,19,attack,Brazil,10800000,5,Serie A
Yuri Berchiche,Athletic Bilbao,31,Defender,Spain,10800000,1,La Liga
Christian Günter,SC Freiburg,28,Defender,Germany,10800000,fail,Bundesliga
Josip Brekalo,Torino FC,23,attack,Croatia,10800000,1,Serie A
Aaron Ramsdale,Arsenal FC,23,Goalkeeper,England,10800000,4,Premier League
Mattias Svanberg,Bologna FC 1909,22,midfield,Sweden,10800000,2,Serie A
Chris Smalling,AS Roma,31,Defender,England,10800000,2,Serie A
Rick Karsdorp,AS Roma,26,Defender,Netherlands,10800000,4,Serie A
Lukas Nmecha,VfL Wolfsburg,22,attack,Germany,10800000,4,Bundesliga
Zinho Vanheusden,Genoa CFC,22,Defender,Belgium,10800000,1,Serie A
Calum Chambers,Arsenal FC,26,Defender,England,10800000,1,Premier League
Vincenzo Grifo,SC Freiburg,28,attack,Italy,10800000,fail,Bundesliga
Divock Origi,Liverpool FC,26,attack,Belgium,10800000,1,Premier League
Albert Sambi Lokonga,Arsenal FC,21,midfield,Belgium,10800000,5,Premier League
Mohamed Ihattaren,UC Sampdoria,19,midfield,Netherlands,10800000,1,Serie A
Rafa Mir,Sevilla FC,24,attack,Spain,10800000,6,La Liga
Ruben Aguilar,AS Monaco,28,Defender,France,10800000,3,Ligue 1
Mohamed Elyounoussi,Southampton FC,27,attack,Norway,10800000,2,Premier League
Angelo Fulgini,SCO Angers,25,midfield,France,10800000,2,Ligue 1
Adrien Truffert,Stade Rennais FC,19,Defender,France,10800000,4,Ligue 1
Lucas Douath,AS Saint-Étienne,18,midfield,France,10800000,4,Ligue 1
Adnan Januzaj,Real Sociedad,26,attack,Belgium,10800000,1,La Liga
Keylor Navas,Paris Saint-Germain,34,Goalkeeper,Costa Rica,10800000,3,Ligue 1
Colin Dagba,Paris Saint-Germain,22,Defender,France,10800000,3,Ligue 1
Loïc Badé,Stade Rennais FC,21,Defender,France,10800000,5,Ligue 1
Ludovic Ajorque,RC Strasbourg Alsace,27,attack,France,10800000,3,Ligue 1
Maxwel Cornet,Burnley FC,24,Defender,Cote d'Ivoire,10800000,5,Premier League
Layvin Kurzawa,Paris Saint-Germain,28,Defender,France,10800000,3,Ligue 1
Alexis Claude-Maurice,OGC Nice,23,midfield,France,10800000,3,Ligue 1
Jean-Clair Todibo,OGC Nice,21,Defender,France,10800000,5,Ligue 1
Vladimir Coufal,West Ham United,29,Defender,Czech Republic,10800000,2,Premier League
Michail Antonio,West Ham United,31,attack,Jamaica,10800000,2,Premier League
Timothy Weah,LOSC Lille,21,attack,United States,10800000,3,Ligue 1
Juan Foyth,Villarreal CF,23,Defender,Argentina,10800000,5,La Liga
Felipe,Atlético de Madrid,32,Defender,Brazil,10800000,1,La Liga
Sehrou Guirassy,Stade Rennais FC,25,attack,France,10800000,4,Ligue 1
Tosin Adarabioyo,Fulham FC,23,Defender,England,10800000,2,Premier League
Rhian Brewster,Sheffield United,21,attack,England,10800000,4,Premier League
Guillermo Maripán,AS Monaco,27,Defender,Chile,10800000,3,Ligue 1
Xherdan Shaqiri,Olympique Lyon,29,attack,Switzerland,10800000,3,Ligue 1
Caio Henrique Oliveira Silva,AS Monaco,24,Defender,Brazil,10800000,4,Ligue 1
Oscar Rodriguez Arnaiz,Sevilla FC,23,midfield,Spain,10800000,4,La Liga
Hwang Hee-chan,Wolverhampton Wanderers,25,attack,"Korea, South",9900000,1,Premier League
Nianzou Kouassi,Bayern Munich,19,Defender,France,9900000,3,Bundesliga
Téji Savanier,Montpellier HSC,29,midfield,France,9900000,2,Ligue 1
Leandro Barreiro Martins,1.FSV Mainz 05,21,midfield,Luxembourg,9900000,3,Bundesliga
Ademola Lookman,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",23,attack,England,9900000,1,UNKNOWN
Jakub Jankto,Getafe CF,25,midfield,Czech Republic,9900000,5,La Liga
Giovanni Simeone,Hellas Verona,26,attack,Argentina,9900000,1,Serie A
Joe Rodon,Tottenham Hotspur,23,Defender,Wales,9000000,4,Premier League
Jakub Moder,Brighton &amp; Hove Albion,22,midfield,Poland,9000000,4,Premier League
Walter Benítez,OGC Nice,28,Goalkeeper,Argentina,9000000,2,Ligue 1
Alban Lafont,FC Nantes,22,Goalkeeper,France,9000000,3,Ligue 1
Niklas Stark,Hertha BSC,26,Defender,Germany,9000000,1,Bundesliga
Habib Diallo,RC Strasbourg Alsace,26,attack,Senegal,9000000,4,Ligue 1
Mohammed Salisu,Southampton FC,22,Defender,Ghana,9000000,3,Premier League
Maxime López,US Sassuolo,23,midfield,France,9000000,4,Serie A
Alexis Mac Allister,Brighton &amp; Hove Albion,22,midfield,Argentina,9000000,2,Premier League
Lucas Martínez Quarta,ACF Fiorentina,25,Defender,Argentina,9000000,4,Serie A
Ludwig Augustinsson,Sevilla FC,27,Defender,Sweden,9000000,4,La Liga
Roger Martí,Levante UD,30,attack,Spain,9000000,3,La Liga
Arnaud Kalimuendo,RC Lens,19,attack,France,9000000,1,Ligue 1
Ivan Rakitic,Sevilla FC,33,midfield,Croatia,9000000,3,La Liga
Rui Patrício,AS Roma,33,Goalkeeper,Portugal,9000000,3,Serie A
Simon Kjaer,AC Milan,32,Defender,Denmark,9000000,1,Serie A
Dennis Geiger,TSG 1899 Hoffenheim,23,midfield,Germany,9000000,1,Bundesliga
Robert Skov,TSG 1899 Hoffenheim,25,attack,Denmark,9000000,3,Bundesliga
Alex Kral,West Ham United,23,midfield,Czech Republic,9000000,1,Premier League
Amin Younes,Eintracht Frankfurt,28,midfield,Germany,9000000,1,Bundesliga
Rúben Vezo,Levante UD,27,Defender,Portugal,9000000,3,La Liga
Malang Sarr,Chelsea FC,22,Defender,France,9000000,4,Premier League
Amine Harit,FC Schalke 04,24,midfield,Morocco,9000000,3,Bundesliga
Nikola Maksimovic,Genoa CFC,29,Defender,Serbia,9000000,fail,Serie A
Jeremie Frimpong,Bayer 04 Leverkusen,20,Defender,Netherlands,9000000,4,Bundesliga
Oliver Skipp,Tottenham Hotspur,20,midfield,England,9000000,3,Premier League
Benjamin Lecomte,Atlético de Madrid,30,Goalkeeper,France,9000000,1,La Liga
Diogo Dalot,Manchester United,22,Defender,Portugal,9000000,2,Premier League
Gerard Piqué,FC Barcelona,34,Defender,Spain,9000000,3,La Liga
Pape Matar Sarr,FC Metz,18,midfield,Senegal,9000000,1,Ligue 1
Paul Bernardoni,SCO Angers,24,Goalkeeper,France,9000000,3,Ligue 1
Grady Diangana,West Bromwich Albion,23,attack,England,9000000,4,Premier League
Pau López,Olympique Marseille,26,Goalkeeper,Spain,9000000,1,Ligue 1
Roberto Pereyra,Udinese Calcio,30,midfield,Argentina,9000000,2,Serie A
Gerard Deulofeu,Udinese Calcio,27,attack,Spain,9000000,3,Serie A
Mohamed Elneny,Arsenal FC,29,midfield,Egypt,9000000,1,Premier League
Marvin Friedrich,1.FC Union Berlin,25,Defender,Germany,9000000,1,Bundesliga
Isaac Hayden,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",26,midfield,England,9000000,5,UNKNOWN
Marc Roca,Bayern Munich,24,midfield,Spain,9000000,4,Bundesliga
Nicolás Domínguez,Bologna FC 1909,23,midfield,Argentina,9000000,3,Serie A
Oliver McBurnie,Sheffield United,25,attack,Scotland,9000000,2,Premier League
Roberto Soriano,Bologna FC 1909,30,midfield,Italy,9000000,2,Serie A
Marko Arnautovic,Bologna FC 1909,32,attack,Austria,9000000,2,Serie A
Dennis Man,Parma Calcio 1913,23,attack,Romania,9000000,4,Serie A
Ezequiel Avila,CA Osasuna,27,attack,Argentina,9000000,2,La Liga
Freddie Woodman,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",24,Goalkeeper,England,9000000,2,UNKNOWN
Pape Gueye,Olympique Marseille,22,midfield,France,9000000,3,Ligue 1
Ryan Fraser,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,attack,Scotland,9000000,4,UNKNOWN
Manuel Lanzini,West Ham United,28,midfield,Argentina,9000000,2,Premier League
Mariano,Real Madrid,28,attack,Dominican Republic,9000000,2,La Liga
Ivan Perisic,Inter Milan,32,midfield,Croatia,9000000,1,Serie A
Luka Modric,Real Madrid,35,midfield,Croatia,9000000,1,La Liga
Mitchel Bakker,Bayer 04 Leverkusen,21,Defender,Netherlands,9000000,4,Bundesliga
Darwin Machís,Granada CF,28,attack,Venezuela,9000000,2,La Liga
Adil Aouchiche,AS Saint-Étienne,19,midfield,France,9000000,2,Ligue 1
Rubén García,CA Osasuna,28,attack,Spain,9000000,3,La Liga
Federico Dimarco,Inter Milan,23,Defender,Italy,9000000,2,Serie A
Nacho Iglesias,Real Madrid,31,Defender,Spain,9000000,2,La Liga
Facundo Medina,RC Lens,22,Defender,Argentina,9000000,3,Ligue 1
Trezeguet,Aston Villa,26,attack,Egypt,9000000,2,Premier League
Kevin Kampl,RB Leipzig,30,midfield,Slovenia,9000000,2,Bundesliga
Nahuel Molina,Udinese Calcio,23,Defender,Argentina,9000000,5,Serie A
Luuk de Jong,FC Barcelona,31,attack,Netherlands,9000000,1,La Liga
Munir El Haddadi,Sevilla FC,26,attack,Morocco,9000000,2,La Liga
Daniel Parejo,Villarreal CF,32,midfield,Spain,9000000,3,La Liga
Alfred Duncan,ACF Fiorentina,28,midfield,Ghana,9000000,3,Serie A
Marc Bartra,Real Betis Balompié,30,Defender,Spain,9000000,2,La Liga
Wataru Endo,VfB Stuttgart,28,midfield,Japan,9000000,3,Bundesliga
Uros Racic,Valencia CF,23,midfield,Serbia,9000000,3,La Liga
Francesco Acerbi,SS Lazio,33,Defender,Italy,9000000,2,Serie A
Armando Izzo,Torino FC,29,Defender,Italy,9000000,3,Serie A
Florentino Luis,Getafe CF,22,midfield,Portugal,9000000,1,La Liga
Gleison Bremer,Torino FC,24,Defender,Brazil,9000000,2,Serie A
Bobby Reid,Fulham FC,28,midfield,Jamaica,9000000,2,Premier League
Marko Rog,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",26,midfield,Croatia,9000000,3,UNKNOWN
Ellyes Skhiri,1. FC Köln,26,midfield,Tunisia,9000000,2,Bundesliga
José Luis Palomino,Atalanta BC,31,Defender,Argentina,9000000,1,Serie A
Hélder Costa,Valencia CF,27,attack,Angola,9000000,1,La Liga
Romain Saïss,Wolverhampton Wanderers,31,Defender,Morocco,9000000,1,Premier League
Adam Marusic,SS Lazio,28,midfield,Montenegro,9000000,1,Serie A
Felipe Anderson,SS Lazio,28,attack,Brazil,9000000,4,Serie A
Marc Guehi,Crystal Palace,21,Defender,England,9000000,5,Premier League
Sergio Ramos,Paris Saint-Germain,35,Defender,Spain,9000000,2,Ligue 1
Borja Iglesias,Real Betis Balompié,28,attack,Spain,9000000,3,La Liga
José Macías,Getafe CF,21,attack,Mexico,9000000,1,La Liga
Mario Lemina,OGC Nice,28,midfield,Gabon,9000000,3,Ligue 1
Andoni Gorosabel,Real Sociedad,25,Defender,Spain,9000000,3,La Liga
Mouctar Diakhaby,Valencia CF,24,Defender,France,9000000,2,La Liga
Álvaro Odriozola,ACF Fiorentina,25,Defender,Spain,9000000,1,Serie A
Terem Moffi,FC Lorient,22,attack,Nigeria,9000000,3,Ligue 1
Yannick Gerhardt,VfL Wolfsburg,27,midfield,Germany,9000000,4,Bundesliga
Harrison Reed,Fulham FC,26,midfield,England,9000000,3,Premier League
Jens Petter Hauge,Eintracht Frankfurt,21,attack,Norway,8550000,1,Bundesliga
Denis Bouanga,AS Saint-Étienne,26,attack,Gabon,8100000,2,Ligue 1
Jeff Hendrick,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,midfield,Ireland,8100000,3,UNKNOWN
Suat Serdar,Hertha BSC,24,midfield,Germany,8100000,5,Bundesliga
Pol Lirola,Olympique Marseille,24,Defender,Spain,8100000,5,Ligue 1
Khephren Thuram-Ulie,OGC Nice,20,midfield,France,8100000,1,Ligue 1
David Soria,Getafe CF,28,Goalkeeper,Spain,8100000,2,La Liga
Jordan Torunarigha,Hertha BSC,24,Defender,Germany,8100000,2,Bundesliga
Fabian Schär,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,Defender,Switzerland,8100000,1,UNKNOWN
Solly March,Brighton &amp; Hove Albion,27,midfield,England,8100000,3,Premier League
Iago Aspas,Celta de Vigo,34,attack,Spain,8100000,2,La Liga
Papu Gómez,Sevilla FC,33,attack,Argentina,8100000,3,La Liga
Nathanaël Mbuku,Stade Reims,19,attack,France,8100000,2,Ligue 1
Sergio Busquets,FC Barcelona,33,midfield,Spain,8100000,2,La Liga
Erick Pulgar,ACF Fiorentina,27,midfield,Chile,8100000,2,Serie A
Cristiano Biraghi,ACF Fiorentina,29,Defender,Italy,8100000,3,Serie A
Filip Duricic,US Sassuolo,29,midfield,Serbia,8100000,1,Serie A
Marco Silvestri,Udinese Calcio,30,Goalkeeper,Italy,8100000,3,Serie A
Christian Benteke,Crystal Palace,30,attack,Belgium,8100000,2,Premier League
Pascal Struijk,Leeds United,22,Defender,Netherlands,8100000,3,Premier League
Toma Basic,SS Lazio,24,midfield,Croatia,8100000,5,Serie A
Carlos Fernández,Real Sociedad,25,attack,Spain,8100000,5,La Liga
Ante Budimir,CA Osasuna,30,attack,Croatia,8100000,4,La Liga
Waldemar Anton,VfB Stuttgart,25,Defender,Germany,8100000,3,Bundesliga
Vedat Muriqi,SS Lazio,27,attack,Kosovo,8100000,4,Serie A
Ibrahima Niane,FC Metz,22,attack,Senegal,8100000,3,Ligue 1
Tom Cairney,Fulham FC,30,midfield,Scotland,8100000,3,Premier League
Martin Braithwaite,FC Barcelona,30,attack,Denmark,8100000,3,La Liga
Reinildo Mandava,LOSC Lille,27,Defender,Mozambique,8100000,1,Ligue 1
Daley Sinkgraven,Bayer 04 Leverkusen,26,Defender,Netherlands,8100000,2,Bundesliga
Jordan Amavi,Olympique Marseille,27,Defender,France,8100000,4,Ligue 1
Jerdy Schouten,Bologna FC 1909,24,midfield,Netherlands,8100000,3,Serie A
Sergio Asenjo,Villarreal CF,32,Goalkeeper,Spain,8100000,1,La Liga
Randal Kolo Muani,FC Nantes,22,attack,France,8100000,1,Ligue 1
Javairô Dilrosun,FC Girondins Bordeaux,23,attack,Netherlands,8100000,1,Ligue 1
Lys Mousset,Sheffield United,25,attack,France,8100000,1,Premier League
Tuta,Eintracht Frankfurt,22,Defender,Brazil,8100000,2,Bundesliga
Jeffrey Schlupp,Crystal Palace,28,midfield,Ghana,8100000,1,Premier League
Yacine Adli,FC Girondins Bordeaux,21,midfield,France,8100000,1,Ligue 1
John Egan,Sheffield United,28,Defender,Ireland,8100000,3,Premier League
Luca Pellegrini,Juventus FC,22,Defender,Italy,8100000,4,Serie A
Kamaldeen Sulemana,Stade Rennais FC,19,attack,Ghana,8100000,5,Ligue 1
Predrag Rajkovic,Stade Reims,25,Goalkeeper,Serbia,8100000,2,Ligue 1
Stanislav Lobotka,SSC Napoli,26,midfield,Slovakia,8100000,3,Serie A
Dries Mertens,SSC Napoli,34,attack,Belgium,8100000,1,Serie A
Hugo Lloris,Tottenham Hotspur,34,Goalkeeper,France,8100000,1,Premier League
Mert Müldür,US Sassuolo,22,Defender,Turkey,8100000,3,Serie A
Axel Witsel,Borussia Dortmund,32,midfield,Belgium,8100000,1,Bundesliga
Eddy Salcedo,Spezia Calcio,19,attack,Italy,7650000,1,Serie A
Jérôme Boateng,Olympique Lyon,32,Defender,Germany,7650000,2,Ligue 1
Matteo Gabbia,AC Milan,21,Defender,Italy,7650000,3,Serie A
Valentin Mihaila,Parma Calcio 1913,21,attack,Romania,7650000,4,Serie A
Marin Pongracic,Borussia Dortmund,23,Defender,Croatia,7650000,1,Bundesliga
Davide Frattesi,US Sassuolo,21,midfield,Italy,7650000,4,Serie A
Moi Gómez,Villarreal CF,27,attack,Spain,7200000,4,La Liga
Strahinja Pavlovic,AS Monaco,20,Defender,Serbia,7200000,3,Ligue 1
Leonardo Bonucci,Juventus FC,34,Defender,Italy,7200000,3,Serie A
Manu Sánchez,CA Osasuna,21,Defender,Spain,7200000,1,La Liga
Neco Williams,Liverpool FC,20,Defender,Wales,7200000,4,Premier League
Karlan Grant,West Bromwich Albion,23,attack,England,7200000,5,Premier League
Nathaniel Phillips,Liverpool FC,24,Defender,England,7200000,4,Premier League
Djibril Sidibé,AS Monaco,29,Defender,France,7200000,1,Ligue 1
Zinedine Ferhat,Nîmes Olympique,28,midfield,Algeria,7200000,1,Ligue 1
Sam Johnstone,West Bromwich Albion,28,Goalkeeper,England,7200000,1,Premier League
Luis Henrique,Olympique Marseille,19,attack,Brazil,7200000,4,Ligue 1
Nathan Collins,Burnley FC,20,Defender,Ireland,7200000,4,Premier League
Konstantinos Tsimikas,Liverpool FC,25,Defender,Greece,7200000,4,Premier League
Yusuf Demir,FC Barcelona,18,attack,Austria,7200000,1,La Liga
El Bilal Touré,Stade Reims,19,attack,Mali,7200000,3,Ligue 1
Aïssa Mandi,Villarreal CF,29,Defender,Algeria,7200000,4,La Liga
Ivan Ilic,Hellas Verona,20,midfield,Serbia,7200000,5,Serie A
Leonardo Balerdi,Olympique Marseille,22,Defender,Argentina,7200000,5,Ligue 1
Nemanja Matic,Manchester United,33,midfield,Serbia,7200000,2,Premier League
Florian Müller,VfB Stuttgart,23,Goalkeeper,Germany,7200000,4,Bundesliga
Diego Lainez,Real Betis Balompié,21,attack,Mexico,7200000,3,La Liga
Davide Zappacosta,Atalanta BC,29,Defender,Italy,7200000,4,Serie A
Chris Wood,Burnley FC,29,attack,New Zealand,7200000,2,Premier League
Fabien Centonze,FC Metz,25,Defender,France,7200000,3,Ligue 1
Adolfo Gaich,SD Huesca,22,attack,Argentina,7200000,1,La Liga
Marc-Oliver Kempf,VfB Stuttgart,26,Defender,Germany,7200000,1,Bundesliga
Samuel Umtiti,FC Barcelona,27,Defender,France,7200000,2,La Liga
Nampalys Mendy,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,midfield,Senegal,7200000,2,UNKNOWN
Ignatius Ganago,RC Lens,22,attack,Cameroon,7200000,3,Ligue 1
Stephy Mavididi,Montpellier HSC,23,attack,England,7200000,3,Ligue 1
Joselu,Deportivo Alavés,31,attack,Spain,7200000,1,La Liga
Jonas Omlin,Montpellier HSC,27,Goalkeeper,Switzerland,7200000,3,Ligue 1
Stuart Armstrong,Southampton FC,29,midfield,Scotland,7200000,3,Premier League
Demarai Gray,Everton FC,25,attack,England,7200000,3,Premier League
Ryan Bertrand,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",32,Defender,England,7200000,2,UNKNOWN
Mário Rui,SSC Napoli,30,Defender,Portugal,7200000,4,Serie A
Hannes Wolf,Borussia Mönchengladbach,22,midfield,Austria,7200000,fail,Bundesliga
Ondrej Duda,1. FC Köln,26,midfield,Slovakia,7200000,3,Bundesliga
Hamari Traoré,Stade Rennais FC,29,Defender,Mali,7200000,2,Ligue 1
Robert Sánchez,Brighton &amp; Hove Albion,23,Goalkeeper,Spain,7200000,4,Premier League
Niklas Dorsch,FC Augsburg,23,midfield,Germany,7200000,5,Bundesliga
Dedryck Boyata,Hertha BSC,30,Defender,Belgium,7200000,3,Bundesliga
Japhet Tanganga,Tottenham Hotspur,22,Defender,England,7200000,4,Premier League
Jairo Riedewald,Crystal Palace,24,midfield,Netherlands,7200000,3,Premier League
Nayef Aguerd,Stade Rennais FC,25,Defender,Morocco,7200000,4,Ligue 1
Adam Ounas,SSC Napoli,24,attack,Algeria,7200000,1,Serie A
Marko Dmitrovic,Sevilla FC,29,Goalkeeper,Serbia,7200000,4,La Liga
Luka Milivojevic,Crystal Palace,30,midfield,Serbia,7200000,2,Premier League
Pavel Kaderabek,TSG 1899 Hoffenheim,29,Defender,Czech Republic,7200000,2,Bundesliga
Keita Baldé,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",26,attack,Senegal,7200000,3,UNKNOWN
Samu Castillejo,AC Milan,26,attack,Spain,7200000,2,Serie A
Junior Firpo,Leeds United,25,Defender,Dominican Republic,7200000,4,Premier League
Xeka,LOSC Lille,26,midfield,Portugal,7200000,1,Ligue 1
Steven Nzonzi,AS Roma,32,midfield,France,7200000,1,Serie A
Hassane Kamara,OGC Nice,27,Defender,Cote d'Ivoire,7200000,3,Ligue 1
Jordan Ayew,Crystal Palace,29,attack,Ghana,7200000,1,Premier League
Axel Tuanzebe,Aston Villa,23,Defender,England,7200000,1,Premier League
Piero Hincapié,Bayer 04 Leverkusen,19,Defender,Ecuador,7200000,5,Bundesliga
Paulo Otávio,VfL Wolfsburg,26,Defender,Brazil,7200000,2,Bundesliga
Oussama Idrissi,Sevilla FC,25,attack,Morocco,7200000,4,La Liga
Fernando Pacheco,Deportivo Alavés,29,Goalkeeper,Spain,7200000,2,La Liga
Romain Perraud,Southampton FC,23,Defender,France,7200000,4,Premier League
Matías Vecino,Inter Milan,30,midfield,Uruguay,7200000,1,Serie A
